# source: Mechanical strip of FinnGen ICD-10-FI patterns → standard ICD-10-CM ancestor → Athena Maps-to SNOMED
# target_vocab: SNOMED (Athena 5.4 snapshot — live vocab.concept, verified 2026-04-17)
# license: Derived work (FinnGen patterns are facts; Athena mappings CC-BY-4.0)
# curator: Phase 13-04 executor (Parthenon GSD agent)
source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason,provenance_tag
D011,0,ICD10_FIN,Carcinoma in situ of other and unspecified digestive organs,196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D012,0,ICD10_FIN,Carcinoma in situ of other and unspecified digestive organs,196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D013,0,ICD10_FIN,Carcinoma in situ of other and unspecified digestive organs,196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D014,0,ICD10_FIN,Carcinoma in situ of other and unspecified digestive organs,196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D015,0,ICD10_FIN,Carcinoma in situ of other and unspecified digestive organs,196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D01[7,0,ICD10_FIN,Carcinoma in situ of other and unspecified digestive organs,196064,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D020,0,ICD10_FIN,Carcinoma in situ of middle ear and respiratory system,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D021,0,ICD10_FIN,Carcinoma in situ of middle ear and respiratory system,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D022,0,ICD10_FIN,Carcinoma in situ of middle ear and respiratory system,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D023,0,ICD10_FIN,Carcinoma in situ of middle ear and respiratory system,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D024,0,ICD10_FIN,Carcinoma in situ of middle ear and respiratory system,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D030,0,ICD10_FIN,Melanoma in situ,4031756,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D031,0,ICD10_FIN,Melanoma in situ,4031756,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D032,0,ICD10_FIN,Melanoma in situ,4031756,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D033,0,ICD10_FIN,Melanoma in situ,4031756,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D034,0,ICD10_FIN,Melanoma in situ,4031756,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D035,0,ICD10_FIN,Melanoma in situ,4031756,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D036,0,ICD10_FIN,Melanoma in situ,4031756,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D037,0,ICD10_FIN,Melanoma in situ,4031756,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D038,0,ICD10_FIN,Melanoma in situ,4031756,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D039,0,ICD10_FIN,Melanoma in situ,4031756,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D040,0,ICD10_FIN,Carcinoma in situ of skin,138996,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D041,0,ICD10_FIN,Carcinoma in situ of skin,138996,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D042,0,ICD10_FIN,Carcinoma in situ of skin,138996,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D043,0,ICD10_FIN,Carcinoma in situ of skin,138996,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D044,0,ICD10_FIN,Carcinoma in situ of skin,138996,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D045,0,ICD10_FIN,Carcinoma in situ of skin,138996,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D046,0,ICD10_FIN,Carcinoma in situ of skin,138996,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D047,0,ICD10_FIN,Carcinoma in situ of skin,138996,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D048,0,ICD10_FIN,Carcinoma in situ of skin,138996,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D049,0,ICD10_FIN,Carcinoma in situ of skin,138996,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D050,0,ICD10_FIN,Carcinoma in situ of breast,81250,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D051,0,ICD10_FIN,Carcinoma in situ of breast,81250,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D05[7,0,ICD10_FIN,Carcinoma in situ of breast,81250,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D060,0,ICD10_FIN,Carcinoma in situ of cervix uteri,194611,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D061,0,ICD10_FIN,Carcinoma in situ of cervix uteri,194611,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D062,0,ICD10_FIN,Carcinoma in situ of cervix uteri,194611,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D063,0,ICD10_FIN,Carcinoma in situ of cervix uteri,194611,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D064,0,ICD10_FIN,Carcinoma in situ of cervix uteri,194611,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D065,0,ICD10_FIN,Carcinoma in situ of cervix uteri,194611,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D066,0,ICD10_FIN,Carcinoma in situ of cervix uteri,194611,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D06[7,0,ICD10_FIN,Carcinoma in situ of cervix uteri,194611,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D067,0,ICD10_FIN,Carcinoma in situ of cervix uteri,194611,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D068,0,ICD10_FIN,Carcinoma in situ of cervix uteri,194611,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D069,0,ICD10_FIN,Carcinoma in situ of cervix uteri,194611,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D070,0,ICD10_FIN,Carcinoma in situ of other and unspecified genital organs,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D071,0,ICD10_FIN,Carcinoma in situ of other and unspecified genital organs,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D072,0,ICD10_FIN,Carcinoma in situ of other and unspecified genital organs,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D073,0,ICD10_FIN,Carcinoma in situ of other and unspecified genital organs,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D074,0,ICD10_FIN,Carcinoma in situ of other and unspecified genital organs,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D075,0,ICD10_FIN,Carcinoma in situ of other and unspecified genital organs,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D076,0,ICD10_FIN,Carcinoma in situ of other and unspecified genital organs,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D090,0,ICD10_FIN,Carcinoma in situ of other and unspecified sites,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D091,0,ICD10_FIN,Carcinoma in situ of other and unspecified sites,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D092,0,ICD10_FIN,Carcinoma in situ of other and unspecified sites,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D093,0,ICD10_FIN,Carcinoma in situ of other and unspecified sites,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D09[7,0,ICD10_FIN,Carcinoma in situ of other and unspecified sites,433435,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D100,0,ICD10_FIN,Benign neoplasm of mouth and pharynx,30356,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D101,0,ICD10_FIN,Benign neoplasm of mouth and pharynx,30356,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
D102,0,ICD10_FIN,Benign neoplasm of mouth and pharynx,30356,SNOMED,1970-01-01,2099-12-31,,computed-icd10fi-strip
